"outbreak_ID","country","epi_unit","season","scan_cluster","unit_size","dead_new","zero"
3767,23,"Farm","Summer","0.High income",25000,80,0
2442,30,"Farm","Spring","1.Upper middle income",43877,20,0
2239,13,"Farm","Spring","0.High income",2180,5,0
4550,30,"Backyard","Spring","0.Upper middle income",220,100,0
496,11,"Backyard","Winter","0.High income",40,3,0
3757,12,"Farm","Spring","0.High income",7505,150,0
402,4,"Farm","Autumn","0.Upper middle income",27348,4500,0
3863,11,"Farm","Spring","1.High income",9354,9354,0
5193,5,"Farm","Spring","0.High income",7958,5,0
4109,11,"Farm","Spring","1.High income",130000,30,0
92,11,"Backyard","Winter","0.High income",46,3,0
580,11,"Farm","Autumn","1.High income",1400,713,0
2312,24,"Farm","Winter","0.Lower middle income",19500,20,0
1760,5,"Farm","Autumn","0.High income",113000,2000,0
3349,27,"Farm","Spring","1.High income",15630,514,0
4402,18,"Farm","Winter","1.High income",8800,3477,0
1220,13,"Farm","Spring","0.High income",1990,145,0
2356,14,"Farm","Autumn","1.Lower middle income",96000,50,0
5314,13,"Farm","Spring","0.High income",5463,70,0
5125,7,"Farm","Winter","0.High income",36183,1017,0
1930,12,"Farm","Spring","0.High income",24000,0,1
5089,11,"Backyard","Winter","0.High income",74,19,0
1254,13,"Farm","Winter","0.High income",10900,0,1
5385,11,"Farm","Spring","1.High income",9210,0,1
5341,11,"Farm","Winter","1.High income",12203,30,0
2850,33,"Farm","Autumn","1.High income",21992,38,0
943,23,"Farm","Autumn","0.High income",11500,20,0
306,11,"Farm","Spring","1.High income",742,281,0
3284,11,"Farm","Spring","1.High income",8196,140,0
2910,13,"Farm","Spring","1.High income",13000,25,0
5053,24,"Farm","Winter","1.Lower middle income",2862,124,0
614,11,"Farm","Winter","0.High income",1260,60,0
2697,35,"Farm","Spring","0.Lower middle income",659,7,0
2729,22,"Farm","Spring","0.Lower middle income",44749,627,0
5270,11,"Farm","Winter","0.High income",7989,12,0
4893,11,"Backyard","Winter","0.High income",75,75,0
6127,11,"Backyard","Spring","1.High income",3600,1000,0
2338,13,"Farm","Spring","0.High income",3550,0,1
4989,27,"Farm","Spring","0.High income",1387,0,1
5043,27,"Farm","Winter","0.High income",15900,6900,0
4445,20,"Farm","Winter","0.High income",47102,113,0
964,12,"Farm","Winter","1.High income",4050,0,1
1936,11,"Farm","Spring","1.High income",3800,50,0
3418,11,"Farm","Spring","1.High income",5162,25,0
1869,33,"Farm","Winter","0.High income",9000,1240,0
2745,23,"Farm","Autumn","0.High income",26877,193,0
1196,11,"Farm","Winter","0.High income",10000,10,0
349,11,"Farm","Spring","1.High income",8632,2649,0
4068,35,"Farm","Winter","0.Lower middle income",53000,0,1
4379,22,"Farm","Winter","0.Lower middle income",18740,225,0
3836,17,"Farm","Winter","0.High income",9083,9083,0
2173,11,"Farm","Spring","1.High income",11000,0,1
4502,11,"Farm","Summer","0.High income",164635,200,0
1172,5,"Farm","Winter","0.High income",11900,0,1
3530,20,"Farm","Autumn","1.High income",270,109,0
3755,27,"Farm","Summer","0.High income",6325,30,0
1601,18,"Farm","Winter","0.High income",13000,0,1
813,11,"Farm","Spring","0.High income",8500,0,1
201,13,"Farm","Autumn","0.High income",27542,319,0
5699,33,"Farm","Summer","0.High income",26880,18800,0
15,11,"Farm","Spring","0.High income",26460,1283,0
658,11,"Farm","Winter","0.High income",3080,40,0
1240,32,"Farm","Spring","0.High income",3300,0,1
3679,13,"Farm","Spring","0.High income",2792,549,0
6143,11,"Backyard","Spring","1.High income",5600,350,0
242,27,"Farm","Autumn","0.High income",10784,1000,0
2528,11,"Farm","Spring","1.High income",30000,0,1
2650,26,"Backyard","Summer","0.Lower middle income",19,1,0
6132,11,"Backyard","Winter","0.High income",1262,340,0
1835,34,"Farm","Autumn","1.High income",8500,300,0
2234,11,"Farm","Spring","1.High income",18500,5,0
4495,13,"Farm","Summer","0.High income",28579,10,0
4783,21,"Farm","Autumn","1.Upper middle income",1500,400,0
2972,18,"Farm","Winter","0.High income",8269,0,1
811,11,"Farm","Winter","0.High income",5000,0,1
1997,30,"Farm","Spring","0.Upper middle income",812,10,0
2411,23,"Farm","Autumn","1.High income",86000,0,1
3138,5,"Farm","Autumn","0.High income",12000,0,1
1828,11,"Farm","Spring","1.High income",10000,0,1
4473,12,"Farm","Autumn","0.High income",8892,20,0
5238,14,"Farm","Winter","0.Lower middle income",61469,230,0
1616,34,"Farm","Spring","1.High income",8100,200,0
2316,12,"Farm","Spring","0.High income",8000,50,0
4092,17,"Farm","Winter","1.High income",5400,0,1
636,11,"Farm","Spring","0.High income",1850,1,0
3735,29,"Farm","Autumn","1.Upper middle income",34600,700,0
529,11,"Farm","Spring","0.High income",2900,3,0
4576,30,"Backyard","Winter","0.Upper middle income",5,4,0
4669,17,"Farm","Autumn","1.High income",2500,800,0
3202,13,"Farm","Spring","0.High income",118100,4900,0
4950,11,"Farm","Winter","0.High income",184,147,0
2795,11,"Farm","Spring","1.High income",12998,4,0
1794,22,"Farm","Winter","0.Lower middle income",13000,200,0
4244,8,"Farm","Spring","0.High income",38000,140,0
6229,11,"Backyard","Summer","0.High income",80,20,0
2399,11,"Farm","Summer","0.High income",9500,0,1
26,17,"Farm","Autumn","1.High income",150714,5,0
3423,18,"Farm","Winter","0.High income",26471,270,0
3265,13,"Farm","Spring","0.High income",133505,2500,0
1991,11,"Farm","Winter","0.High income",8500,30,0
1954,30,"Farm","Spring","0.Upper middle income",4500,0,1
2325,13,"Farm","Spring","0.High income",3682,10,0
2331,13,"Farm","Spring","0.High income",7200,0,1
3625,11,"Farm","Spring","0.High income",2700,15,0
478,26,"Farm","Spring","0.Lower middle income",2300,100,0
352,11,"Farm","Autumn","0.High income",1350,0,1
3030,11,"Farm","Winter","1.High income",6120,41,0
1749,11,"Farm","Winter","0.High income",8500,200,0
2868,11,"Farm","Winter","0.High income",22145,160,0
3523,27,"Farm","Winter","0.High income",988,354,0
1780,13,"Farm","Spring","0.High income",12000,500,0
4352,11,"Farm","Spring","1.High income",14000,3000,0
3334,20,"Farm","Winter","1.High income",960,0,1
700,27,"Farm","Summer","0.High income",8370,100,0
3792,11,"Backyard","Winter","0.High income",26,7,0
6160,27,"Backyard","Winter","0.High income",230,20,0
276,27,"Farm","Winter","0.High income",878,155,0
2221,17,"Farm","Autumn","1.High income",8000,100,0
1633,13,"Farm","Spring","0.High income",3000,0,1
2455,23,"Farm","Spring","1.High income",5000,200,0
295,13,"Farm","Autumn","1.High income",918,344,0
1814,30,"Farm","Autumn","0.Upper middle income",4400,400,0
3739,24,"Farm","Winter","0.Lower middle income",22000,68,0
1497,25,"Farm","Autumn","0.Upper middle income",1400,0,1
621,33,"Farm","Autumn","0.High income",15675,360,0
884,13,"Farm","Spring","0.High income",1428,1,0
6182,12,"Backyard","Winter","0.High income",58,10,0
3718,18,"Farm","Winter","1.High income",32500,500,0
2539,14,"Farm","Spring","0.Lower middle income",5200,20,0
4613,24,"Farm","Winter","0.Lower middle income",4500,1000,0
3513,11,"Farm","Winter","1.High income",1997,1000,0
1941,24,"Farm","Winter","1.Lower middle income",3600,100,0
3007,11,"Farm","Winter","1.High income",5775,49,0
1201,17,"Farm","Winter","1.High income",8466,0,1
2275,22,"Farm","Winter","0.Lower middle income",21700,12,0
1126,17,"Farm","Winter","0.High income",42400,60,0
1407,13,"Farm","Spring","0.High income",15000,15,0
2700,34,"Farm","Spring","1.High income",9000,75,0
5976,3,"Farm","Spring","0.Lower middle income",73000,355,0
1773,20,"Farm","Autumn","1.High income",8800,0,1
765,35,"Farm","Spring","0.Lower middle income",4650,140,0
804,26,"Farm","Winter","0.Lower middle income",6000,0,1
1094,24,"Farm","Spring","1.Lower middle income",1795,3,0
3351,5,"Farm","Autumn","0.High income",1000,37,0
4721,11,"Farm","Winter","0.High income",800,100,0
589,7,"Farm","Winter","0.High income",4510,0,1
1138,11,"Farm","Spring","0.High income",1580,0,1
174,11,"Farm","Spring","0.High income",55280,90,0
397,7,"Farm","Summer","0.High income",35039,11330,0
4286,12,"Farm","Autumn","1.High income",25000,0,1
3788,29,"Backyard","Autumn","0.Upper middle income",20,5,0
1427,24,"Farm","Winter","0.Lower middle income",15500,20,0
2724,11,"Farm","Spring","1.High income",7350,500,0
2913,29,"Farm","Winter","0.Upper middle income",16842,250,0
1044,11,"Farm","Spring","1.High income",2000,3,0
5888,7,"Farm","Spring","0.High income",17900,900,0
1491,23,"Farm","Autumn","0.High income",8700,1,0
2512,8,"Farm","Spring","0.High income",7000,0,1
2084,20,"Farm","Winter","0.High income",25000,0,1
676,35,"Farm","Autumn","0.Lower middle income",5000,300,0
4408,11,"Farm","Spring","0.High income",204,170,0
1745,16,"Farm","Winter","0.High income",1754,60,0
2158,11,"Farm","Spring","1.High income",11000,0,1
64,22,"Farm","Spring","0.Lower middle income",12250,227,0
5671,11,"Farm","Spring","0.High income",76734,0,1
3041,14,"Farm","Winter","1.Lower middle income",58000,120,0
401,33,"Farm","Winter","1.High income",25255,4445,0
5123,33,"Farm","Winter","0.High income",161,133,0
5834,13,"Farm","Spring","0.High income",15407,1920,0
4145,24,"Farm","Winter","0.Lower middle income",68400,7,0
2114,22,"Farm","Spring","0.Lower middle income",1000,0,1
5267,11,"Farm","Autumn","0.High income",11039,20,0
3059,11,"Farm","Winter","0.High income",600,5,0
6238,11,"Backyard","Winter","0.High income",3000,1000,0
5540,33,"Farm","Autumn","1.High income",1438,0,1
5754,11,"Farm","Spring","1.High income",46000,6450,0
2991,13,"Farm","Spring","0.High income",445,7,0
993,7,"Farm","Winter","0.High income",6000,12,0
809,22,"Farm","Winter","0.Lower middle income",6200,0,1
5082,13,"Backyard","Spring","0.High income",35,15,0
2223,11,"Farm","Spring","1.High income",4800,5,0
275,13,"Farm","Spring","0.High income",996,344,0
1671,11,"Farm","Winter","0.High income",8785,200,0
1656,11,"Farm","Spring","1.High income",7350,200,0
2258,27,"Farm","Winter","0.High income",8000,6,0
2306,11,"Farm","Spring","0.High income",5700,200,0
4605,13,"Farm","Spring","0.High income",1500,10,0
34,14,"Farm","Winter","0.Lower middle income",18000,2200,0
5776,11,"Farm","Spring","1.High income",16000,100,0
3686,5,"Farm","Autumn","1.High income",11787,14,0
5342,11,"Farm","Spring","0.High income",10158,94,0
417,13,"Farm","Autumn","0.High income",19037,220,0
5867,12,"Farm","Winter","1.High income",41908,596,0
2328,33,"Farm","Winter","0.High income",13000,10,0
4908,12,"Backyard","Winter","0.High income",173,0,1
4977,24,"Farm","Summer","0.Lower middle income",24664,78,0
5260,33,"Farm","Winter","0.High income",24108,122,0
3597,11,"Backyard","Winter","0.High income",44,34,0
170,11,"Farm","Winter","1.High income",14825,60,0
5547,11,"Farm","Winter","0.High income",4706,300,0
3043,17,"Farm","Autumn","1.High income",2100,5,0
4700,18,"Farm","Winter","1.High income",3000,362,0
3753,27,"Farm","Spring","0.High income",17328,28,0
3232,11,"Farm","Winter","0.High income",5800,0,1
3061,33,"Farm","Winter","0.High income",116465,1864,0
1522,11,"Farm","Winter","1.High income",64000,3000,0
2073,17,"Farm","Winter","1.High income",3300,150,0
5431,8,"Backyard","Winter","0.High income",155,31,0
840,11,"Farm","Spring","1.High income",30400,1500,0
1088,11,"Farm","Winter","0.High income",16800,10,0
4302,7,"Farm","Winter","0.High income",61161,100,0
4709,26,"Farm","Summer","0.Lower middle income",9000,1300,0
3268,7,"Farm","Summer","0.High income",11989,124,0
3855,11,"Farm","Winter","0.High income",14230,14230,0
2794,11,"Farm","Winter","0.High income",6333,93,0
4138,30,"Farm","Summer","0.Upper middle income",42900,9,0
3203,12,"Farm","Spring","0.High income",16550,19,0
2605,11,"Backyard","Spring","1.High income",64,19,0
5996,11,"Backyard","Spring","0.High income",247,73,0
5296,12,"Farm","Spring","0.High income",11946,9,0
3160,13,"Farm","Winter","0.High income",150,15,0
4136,33,"Farm","Autumn","1.High income",75300,10,0
1893,11,"Farm","Spring","1.High income",900,0,1
3611,11,"Backyard","Spring","1.High income",3369,371,0
2105,11,"Farm","Spring","1.High income",2600,0,1
3443,11,"Farm","Spring","0.High income",61800,430,0
1871,17,"Farm","Winter","0.High income",7700,200,0
1699,30,"Farm","Winter","0.Upper middle income",21500,200,0
5101,11,"Backyard","Winter","1.High income",53,40,0
230,18,"Farm","Winter","0.High income",173662,1500,0
